PID,Player,Span,Mat,Inns,No,Runs,Hs,Ave,100,50,Ducks,Country,Format
1,EL a'Beckett,1928-1932,4,7,0,143,41,20.42,0,0,0,Australia,Test
2,AC Agar,2013-2017,4,7,1,195,98,32.50,0,1,0,Australia,Test
3,TM Alderman,1981-1991,41,53,22,203,26*,6.54,0,0,13,Australia,Test
4,G Alexander,1880-1884,2,4,0,52,33,13.00,0,0,0,Australia,Test
5,HH Alexander,1933-1933,1,2,1,17,17*,17.00,0,0,1,Australia,Test
6,FE Allan,1879-1879,1,1,0,5,5,5.00,0,0,0,Australia,Test
7,PJ Allan,1965-1965,1,0,0,0.00,0,0,0,0,0,Australia,Test
8,RC Allen,1887-1887,1,2,0,44,30,22.00,0,0,0,Australia,Test
9,TJE Andrews,1921-1926,16,23,1,592,94,26.90,0,4,0,Australia,Test
10,J Angel,1993-1995,4,7,1,35,11,5.83,0,0,2,Australia,Test
11,KA Archer,1950-1951,5,9,0,234,48,26.00,0,0,1,Australia,Test
12,RG Archer,1953-1956,19,30,1,713,128,24.58,1,2,4,Australia,Test
13,WW Armstrong,1902-1921,50,84,10,2863,159*,38.68,6,8,6,Australia,Test
14,CL Badcock,1936-1938,7,12,1,160,118,14.54,1,0,4,Australia,Test
15,GJ Bailey,2013-2014,5,8,1,183,53,26.14,0,1,1,Australia,Test
16,CT Bancroft,2017-2018,7,12,1,299,82*,27.18,0,2,1,Australia,Test
17,AC Bannerman,1879-1893,28,50,2,1108,94,23.08,0,8,3,Australia,Test
18,C Bannerman,1877-1879,3,6,2,239,165*,59.75,1,0,0,Australia,Test
19,W Bardsley,1909-1926,41,66,5,2469,193*,40.47,6,14,6,Australia,Test
20,SG Barnes,1938-1948,13,19,2,1072,234,63.05,3,5,1,Australia,Test
21,BA Barnett,1938-1938,4,8,1,195,57,27.85,0,1,0,Australia,Test
22,JE Barrett,1890-1890,2,4,1,80,67*,26.66,0,1,1,Australia,Test
23,GR Beard,1980-1980,3,5,0,114,49,22.80,0,0,0,Australia,Test
24,MA Beer,2011-2012,2,3,1,6,2*,3.00,0,0,0,Australia,Test
25,J Benaud,1972-1973,3,5,0,223,142,44.60,1,0,0,Australia,Test
26,R Benaud,1952-1964,63,97,7,2201,122,24.45,3,9,8,Australia,Test
27,MJ Bennett,1984-1985,3,5,2,71,23,23.66,0,0,0,Australia,Test
28,MG Bevan,1994-1998,18,30,3,785,91,29.07,0,6,4,Australia,Test
29,AJ Bichel,1997-2003,19,22,1,355,71,16.90,0,1,3,Australia,Test
30,JM Bird,2012-2017,9,9,6,43,19*,14.33,0,0,1,Australia,Test
31,JM Blackham,1877-1894,35,62,11,800,74,15.68,0,4,6,Australia,Test
32,DD Blackie,1928-1929,3,6,3,24,11*,8.00,0,0,2,Australia,Test
33,GS Blewett,1995-2000,46,79,4,2552,214,34.02,4,15,6,Australia,Test
34,DE Bollinger,2009-2010,12,14,7,54,21,7.71,0,0,3,Australia,Test
35,GJ Bonnor,1880-1888,17,30,0,512,128,17.06,1,2,5,Australia,Test
36,DC Boon,1984-1996,107,190,20,7422,200,43.65,21,32,16,Australia,Test
37,BC Booth,1961-1966,29,48,6,1773,169,42.21,5,10,5,Australia,Test
38,AR Border,1978-1994,156,265,44,11174,205,50.56,27,63,11,Australia,Test
39,HF Boyle,1879-1884,12,16,4,153,36*,12.75,0,0,2,Australia,Test
40,NW Bracken,2003-2005,5,6,2,70,37,17.50,0,0,0,Australia,Test
41,DG Bradman,1928-1948,52,80,10,6996,334,99.94,29,13,7,Australia,Test
42,RJ Bright,1977-1986,25,39,8,445,33,14.35,0,0,6,Australia,Test
43,EH Bromley,1933-1934,2,4,0,38,26,9.50,0,0,0,Australia,Test
44,WA Brown,1934-1948,22,35,1,1592,206*,46.82,4,9,1,Australia,Test
45,W Bruce,1885-1895,14,26,2,702,80,29.25,0,5,1,Australia,Test
46,PJP Burge,1955-1966,42,68,8,2290,181,38.16,4,12,5,Australia,Test
47,JW Burke,1951-1959,24,44,7,1280,189,34.59,3,5,0,Australia,Test
48,EJK Burn,1890-1890,2,4,0,41,19,10.25,0,0,1,Australia,Test
49,JA Burns,2014-2016,13,23,0,873,170,37.95,3,4,4,Australia,Test
50,FJ Burton,1887-1888,2,4,2,4,2*,2.00,0,0,0,Australia,Test
51,ST Callaway,1892-1895,3,6,1,87,41,17.40,0,0,1,Australia,Test
52,IW Callen,1978-1978,1,2,2,26,22*,0,0,0,0,Australia,Test
53,GD Campbell,1989-1990,4,4,0,10,6,2.50,0,0,2,Australia,Test
54,W Carkeek,1912-1912,6,5,2,16,6*,5.33,0,0,0,Australia,Test
55,PH Carlson,1979-1979,2,4,0,23,21,5.75,0,0,2,Australia,Test
56,H Carter,1907-1921,28,47,9,873,72,22.97,0,4,4,Australia,Test
57,HWR Cartwright,2017-2017,2,2,0,55,37,27.50,0,0,0,Australia,Test
58,B Casson,2008-2008,1,1,0,10,10,10.00,0,0,0,Australia,Test
59,GS Chappell,1970-1984,87,151,19,7110,247*,53.86,24,31,12,Australia,Test
60,IM Chappell,1964-1980,75,136,10,5345,196,42.42,14,26,11,Australia,Test
61,TM Chappell,1981-1981,3,6,1,79,27,15.80,0,0,0,Australia,Test
62,PC Charlton,1890-1890,2,4,0,29,11,7.25,0,0,0,Australia,Test
63,AG Chipperfield,1934-1938,14,20,3,552,109,32.47,1,2,1,Australia,Test
64,SR Clark,2006-2009,24,26,7,248,39,13.05,0,0,5,Australia,Test
65,WM Clark,1977-1979,10,19,2,98,33,5.76,0,0,8,Australia,Test
66,MJ Clarke,2004-2015,115,198,22,8643,329*,49.10,28,27,9,Australia,Test
67,DJ Colley,1972-1972,3,4,0,84,54,21.00,0,1,0,Australia,Test
68,HL Collins,1920-1926,19,31,1,1352,203,45.06,4,6,0,Australia,Test
69,A Coningham,1894-1895,1,2,0,13,10,6.50,0,0,0,Australia,Test
70,AN Connolly,1963-1971,29,45,20,260,37,10.40,0,0,10,Australia,Test
71,SH Cook,1997-1997,2,2,2,3,3*,0,0,0,0,Australia,Test
72,BB Cooper,1877-1877,1,2,0,18,15,9.00,0,0,0,Australia,Test
73,WH Cooper,1881-1884,2,3,1,13,7,6.50,0,0,0,Australia,Test
74,TA Copeland,2011-2011,3,4,1,39,23*,13.00,0,0,0,Australia,Test
75,GE Corling,1964-1964,5,4,1,5,3,1.66,0,0,2,Australia,Test
76,GJ Cosier,1975-1978,18,32,1,897,168,28.93,2,3,3,Australia,Test
77,JT Cottam,1887-1887,1,2,0,4,3,2.00,0,0,0,Australia,Test
78,A Cotter,1904-1912,21,37,2,457,45,13.05,0,0,6,Australia,Test
79,G Coulthard,1882-1882,1,1,1,6,6*,0,0,0,0,Australia,Test
80,EJM Cowan,2011-2013,18,32,0,1001,136,31.28,1,6,2,Australia,Test
81,RM Cowper,1964-1968,27,46,2,2061,307,46.84,5,10,3,Australia,Test
82,ID Craig,1953-1958,11,18,0,358,53,19.88,0,2,3,Australia,Test
83,WPA Crawford,1956-1956,4,5,2,53,34,17.66,0,0,1,Australia,Test
84,DJ Cullen,2006-2006,1,0,0,0.00,0,0,0,0,0,Australia,Test
85,PJ Cummins,2011-2018,12,18,4,310,44,22.14,0,0,2,Australia,Test
86,AC Dale,1998-1999,2,3,0,6,5,2.00,0,0,1,Australia,Test
87,J Darling,1894-1905,34,60,2,1657,178,28.56,3,8,8,Australia,Test
88,LS Darling,1933-1937,12,18,1,474,85,27.88,0,3,2,Australia,Test
89,WM Darling,1978-1979,14,27,1,697,91,26.80,0,6,1,Australia,Test
90,AK Davidson,1953-1963,44,61,7,1328,80,24.59,0,5,1,Australia,Test
91,IC Davis,1973-1977,15,27,1,692,105,26.61,1,4,3,Australia,Test
92,SP Davis,1986-1986,1,1,0,0,0,0.00,0,0,1,Australia,Test
93,JH de Courcy,1953-1953,3,6,1,81,41,16.20,0,0,0,Australia,Test
94,AR Dell,1971-1974,2,2,2,6,3*,0,0,0,0,Australia,Test
95,AIC Dodemaide,1987-1992,10,15,6,202,50,22.44,0,1,0,Australia,Test
96,XJ Doherty,2010-2013,4,7,3,51,18*,12.75,0,0,0,Australia,Test
97,H Donnan,1892-1896,5,10,1,75,15,8.33,0,0,1,Australia,Test
98,AJ Doolan,2014-2014,4,8,0,191,89,23.87,0,1,1,Australia,Test
99,B Dooland,1947-1948,3,5,1,76,29,19.00,0,0,0,Australia,Test
100,RA Duff,1902-1905,22,40,3,1317,146,35.59,2,6,0,Australia,Test
101,JRF Duncan,1971-1971,1,1,0,3,3,3.00,0,0,0,Australia,Test
102,GC Dyer,1986-1988,6,6,0,131,60,21.83,0,1,1,Australia,Test
103,G Dymock,1974-1980,21,32,7,236,31*,9.44,0,0,7,Australia,Test
104,J Dyson,1977-1984,30,58,7,1359,127*,26.64,2,5,4,Australia,Test
105,CJ Eady,1896-1902,2,4,1,20,10*,6.66,0,0,0,Australia,Test
106,KH Eastwood,1971-1971,1,2,0,5,5,2.50,0,0,1,Australia,Test
107,HI Ebeling,1934-1934,1,2,0,43,41,21.50,0,0,0,Australia,Test
108,JD Edwards,1888-1888,3,6,1,48,26,9.60,0,0,3,Australia,Test
109,R Edwards,1972-1975,20,32,3,1171,170*,40.37,2,9,4,Australia,Test
110,WJ Edwards,1974-1974,3,6,0,68,30,11.33,0,0,2,Australia,Test
111,MTG Elliott,1996-2004,21,36,1,1172,199,33.48,3,4,5,Australia,Test
112,PA Emery,1994-1994,1,1,1,8,8*,0,0,0,0,Australia,Test
113,SH Emery,1912-1912,4,2,0,6,5,3.00,0,0,0,Australia,Test
114,E Evans,1881-1886,6,10,2,82,33,10.25,0,0,3,Australia,Test
115,AG Fairfax,1929-1931,10,12,4,410,65,51.25,0,4,0,Australia,Test
116,JP Faulkner,2013-2013,1,2,0,45,23,22.50,0,0,0,Australia,Test
117,LE Favell,1954-1961,19,31,3,757,101,27.03,1,5,2,Australia,Test
118,CJ Ferguson,2016-2016,1,2,0,4,3,2.00,0,0,0,Australia,Test
119,JJ Ferris,1887-1890,8,16,4,98,20*,8.16,0,0,1,Australia,Test
120,JHW Fingleton,1932-1938,18,29,1,1189,136,42.46,5,3,3,Australia,Test
121,LO Fleetwood-Smith,1935-1938,10,11,5,54,16*,9.00,0,0,2,Australia,Test
122,DW Fleming,1994-2001,20,19,3,305,71*,19.06,0,2,7,Australia,Test
123,BC Francis,1972-1972,3,5,0,52,27,10.40,0,0,1,Australia,Test
124,EW Freeman,1968-1970,11,18,0,345,76,19.16,0,2,0,Australia,Test
125,FAW Freer,1946-1946,1,1,1,28,28*,0,0,0,0,Australia,Test
126,JB Gannon,1977-1978,3,5,4,3,3*,3.00,0,0,1,Australia,Test
127,TW Garrett,1877-1888,19,33,6,339,51*,12.55,0,1,5,Australia,Test
128,RA Gaunt,1958-1964,3,4,2,6,3,3.00,0,0,0,Australia,Test
129,DRA Gehrs,1904-1911,6,11,0,221,67,20.09,0,2,1,Australia,Test
130,PR George,2010-2010,1,2,0,2,2,1.00,0,0,1,Australia,Test
131,G Giffen,1881-1896,31,53,0,1238,161,23.35,1,6,5,Australia,Test
132,WF Giffen,1887-1892,3,6,0,11,3,1.83,0,0,1,Australia,Test
133,DR Gilbert,1985-1986,9,12,4,57,15,7.12,0,0,1,Australia,Test
134,AC Gilchrist,1999-2008,96,137,20,5570,204*,47.60,17,26,14,Australia,Test
135,JN Gillespie,1996-2006,71,93,28,1218,201*,18.73,1,2,13,Australia,Test
136,GJ Gilmour,1973-1977,15,22,1,483,101,23.00,1,3,3,Australia,Test
137,JW Gleeson,1967-1972,29,46,8,395,45,10.39,0,0,11,Australia,Test
138,H Graham,1893-1896,6,10,0,301,107,30.10,2,0,2,Australia,Test
139,DW Gregory,1877-1879,3,5,2,60,43,20.00,0,0,0,Australia,Test
140,EJ Gregory,1877-1877,1,2,0,11,11,5.50,0,0,1,Australia,Test
141,JM Gregory,1920-1928,24,34,3,1146,119,36.96,2,7,3,Australia,Test
142,RG Gregory,1937-1937,2,3,0,153,80,51.00,0,2,0,Australia,Test
143,SE Gregory,1890-1912,58,100,7,2282,201,24.53,4,8,12,Australia,Test
144,CV Grimmett,1925-1936,37,50,10,557,50,13.92,0,1,7,Australia,Test
145,TU Groube,1880-1880,1,2,0,11,11,5.50,0,0,1,Australia,Test
146,ATW Grout,1957-1966,51,67,8,890,74,15.08,0,3,11,Australia,Test
147,CEJ Guest,1963-1963,1,1,0,11,11,11.00,0,0,0,Australia,Test
148,BJ Haddin,2008-2015,66,112,13,3266,169,32.98,4,18,8,Australia,Test
149,RA Hamence,1947-1948,3,4,1,81,30*,27.00,0,0,0,Australia,Test
150,JR Hammond,1973-1973,5,5,2,28,19,9.33,0,0,1,Australia,Test
151,PSP Handscomb,2016-2017,12,22,5,805,110,47.35,2,4,0,Australia,Test
152,RJ Harris,2010-2015,27,39,11,603,74,21.53,0,3,2,Australia,Test
153,J Harry,1895-1895,1,2,0,8,6,4.00,0,0,0,Australia,Test
154,MJ Hartigan,1908-1908,2,4,0,170,116,42.50,1,0,0,Australia,Test
155,AEV Hartkopf,1925-1925,1,2,0,80,80,40.00,0,1,1,Australia,Test
156,MR Harvey,1947-1947,1,2,0,43,31,21.50,0,0,0,Australia,Test
157,RN Harvey,1948-1963,79,137,10,6149,205,48.41,21,24,7,Australia,Test
158,AL Hassett,1938-1953,43,69,3,3073,198*,46.56,10,11,1,Australia,Test
159,JW Hastings,2012-2012,1,2,0,52,32,26.00,0,0,0,Australia,Test
160,NM Hauritz,2004-2010,17,24,7,426,75,25.05,0,2,1,Australia,Test
161,NJN Hawke,1963-1968,27,37,15,365,45*,16.59,0,0,6,Australia,Test
162,ML Hayden,1994-2009,103,184,14,8625,380,50.73,30,29,14,Australia,Test
163,JR Hazlewood,2014-2018,38,44,20,312,39,13.00,0,0,6,Australia,Test
164,GR Hazlitt,1907-1912,9,12,4,89,34*,11.12,0,0,2,Australia,Test
165,IA Healy,1988-1999,119,182,23,4356,161*,27.39,4,22,18,Australia,Test
166,HSTL Hendry,1921-1929,11,18,2,335,112,20.93,1,0,1,Australia,Test
167,MC Henriques,2013-2016,4,8,1,164,81*,23.42,0,2,2,Australia,Test
168,PA Hibbert,1977-1977,1,2,0,15,13,7.50,0,0,0,Australia,Test
169,JD Higgs,1978-1981,22,36,16,111,16,5.55,0,0,5,Australia,Test
170,AMJ Hilditch,1979-1985,18,34,0,1073,119,31.55,2,6,3,Australia,Test
171,BW Hilfenhaus,2009-2012,27,38,12,355,56*,13.65,0,1,8,Australia,Test
172,C Hill,1896-1912,49,89,2,3412,191,39.21,7,19,9,Australia,Test
173,JC Hill,1953-1955,3,6,3,21,8*,7.00,0,0,1,Australia,Test
174,DE Hoare,1961-1961,1,2,0,35,35,17.50,0,0,1,Australia,Test
175,BJ Hodge,2005-2008,6,11,2,503,203*,55.88,1,2,0,Australia,Test
176,JR Hodges,1877-1877,2,4,1,10,8,3.33,0,0,1,Australia,Test
177,TG Hogan,1983-1984,7,12,1,205,42*,18.63,0,0,1,Australia,Test
178,GB Hogg,1996-2008,7,10,3,186,79,26.57,0,1,0,Australia,Test
179,RM Hogg,1978-1984,38,58,13,439,52,9.75,0,1,14,Australia,Test
180,TV Hohns,1989-1989,7,7,1,136,40,22.66,0,0,1,Australia,Test
181,GB Hole,1951-1955,18,33,2,789,66,25.45,0,6,2,Australia,Test
182,JM Holland,2016-2016,2,4,3,1,1,1.00,0,0,0,Australia,Test
183,RG Holland,1984-1986,11,15,4,35,10,3.18,0,0,7,Australia,Test
184,DW Hookes,1977-1985,23,41,3,1306,143*,34.36,1,8,4,Australia,Test
185,AJY Hopkins,1902-1909,20,33,2,509,43,16.41,0,0,4,Australia,Test
186,TP Horan,1877-1885,15,27,2,471,124,18.84,1,1,3,Australia,Test
187,HV Hordern,1911-1912,7,13,2,254,50,23.09,0,1,1,Australia,Test
188,PM Hornibrook,1929-1930,6,7,1,60,26,10.00,0,0,1,Australia,Test
189,WP Howell,1898-1904,18,27,6,158,35,7.52,0,0,8,Australia,Test
190,KJ Hughes,1977-1984,70,124,6,4415,213,37.41,9,22,10,Australia,Test
191,MG Hughes,1985-1994,53,70,8,1032,72*,16.64,0,2,10,Australia,Test
192,PJ Hughes,2009-2013,26,49,2,1535,160,32.65,3,7,6,Australia,Test
193,WA Hunt,1932-1932,1,1,0,0,0,0.00,0,0,1,Australia,Test
194,AG Hurst,1974-1979,12,20,3,102,26,6.00,0,0,10,Australia,Test
195,A Hurwood,1930-1931,2,2,0,5,5,2.50,0,0,1,Australia,Test
196,MEK Hussey,2005-2013,79,137,16,6235,195,51.52,19,29,12,Australia,Test
197,RJ Inverarity,1968-1972,6,11,1,174,56,17.40,0,1,1,Australia,Test
198,FA Iredale,1894-1899,14,23,1,807,140,36.68,2,4,2,Australia,Test
199,H Ironmonger,1928-1933,14,21,5,42,12,2.62,0,0,6,Australia,Test
200,JB Iverson,1950-1951,5,7,3,3,1*,0.75,0,0,2,Australia,Test
201,A Jackson,1929-1931,8,11,1,474,164,47.40,1,2,1,Australia,Test
202,PA Jaques,2005-2008,11,19,0,902,150,47.47,3,6,1,Australia,Test
203,BN Jarman,1959-1969,19,30,3,400,78,14.81,0,2,5,Australia,Test
204,AH Jarvis,1885-1895,11,21,3,303,82,16.83,0,1,1,Australia,Test
205,TJ Jenner,1970-1975,9,14,5,208,74,23.11,0,1,1,Australia,Test
206,CB Jennings,1912-1912,6,8,2,107,32,17.83,0,0,2,Australia,Test
207,IWG Johnson,1946-1956,45,66,12,1000,77,18.51,0,6,10,Australia,Test
208,LJ Johnson,1948-1948,1,1,1,25,25*,0,0,0,0,Australia,Test
209,MG Johnson,2007-2015,73,109,16,2065,123*,22.20,1,11,19,Australia,Test
210,WA Johnston,1947-1955,40,49,25,273,29,11.37,0,0,7,Australia,Test
211,DM Jones,1984-1992,52,89,11,3631,216,46.55,11,14,11,Australia,Test
212,E Jones,1894-1902,19,26,1,126,20,5.04,0,0,5,Australia,Test
213,SP Jones,1882-1888,12,24,4,428,87,21.40,0,1,3,Australia,Test
214,LR Joslin,1968-1968,1,2,0,9,7,4.50,0,0,0,Australia,Test
215,BP Julian,1993-1995,7,9,1,128,56*,16.00,0,1,3,Australia,Test
216,MS Kasprowicz,1996-2006,38,54,12,445,25,10.59,0,0,7,Australia,Test
217,SM Katich,2001-2010,56,99,6,4188,157,45.03,10,25,4,Australia,Test
218,C Kelleway,1910-1928,26,42,4,1422,147,37.42,3,6,1,Australia,Test
219,JJ Kelly,1896-1905,36,56,17,664,46*,17.02,0,0,7,Australia,Test
220,TJD Kelly,1877-1879,2,3,0,64,35,21.33,0,0,0,Australia,Test
221,TK Kendall,1877-1877,2,4,1,39,17*,13.00,0,0,0,Australia,Test
222,MF Kent,1981-1981,3,6,0,171,54,28.50,0,2,0,Australia,Test
223,RB Kerr,1985-1985,2,4,0,31,17,7.75,0,0,1,Australia,Test
224,UT Khawaja,2011-2018,31,53,4,2160,174,44.08,6,11,3,Australia,Test
225,AF Kippax,1925-1934,22,34,1,1192,146,36.12,2,8,1,Australia,Test
226,LF Kline,1957-1961,13,16,9,58,15*,8.28,0,0,3,Australia,Test
227,JJ Krejza,2008-2008,2,4,1,71,32,23.66,0,0,0,Australia,Test
228,BM Laird,1979-1982,21,40,2,1341,92,35.28,0,11,2,Australia,Test
229,JL Langer,1993-2007,105,182,12,7696,250,45.27,23,30,11,Australia,Test
230,GRA Langley,1951-1956,26,37,12,374,53,14.96,0,1,3,Australia,Test
231,TJ Laughlin,1978-1978,3,5,0,87,35,17.40,0,0,0,Australia,Test
232,FJ Laver,1899-1909,15,23,6,196,45,11.52,0,0,4,Australia,Test
233,SG Law,1995-1995,1,1,1,54,54*,0,0,1,0,Australia,Test
234,WM Lawry,1961-1971,67,123,12,5234,210,47.15,13,27,6,Australia,Test
235,GF Lawson,1980-1989,46,68,12,894,74,15.96,0,4,6,Australia,Test
236,B Lee,1999-2008,76,90,18,1451,64,20.15,0,5,14,Australia,Test
237,PK Lee,1931-1933,2,3,0,57,42,19.00,0,0,1,Australia,Test
238,DS Lehmann,1998-2004,27,42,2,1798,177,44.95,5,10,2,Australia,Test
239,DK Lillee,1971-1984,70,90,24,905,73*,13.71,0,1,10,Australia,Test
240,RR Lindwall,1946-1960,61,84,13,1502,118,21.15,2,5,9,Australia,Test
241,HSB Love,1933-1933,1,2,0,8,5,4.00,0,0,0,Australia,Test
242,ML Love,2002-2003,5,8,3,233,100*,46.60,1,1,2,Australia,Test
243,SJE Loxton,1948-1951,12,15,0,554,101,36.93,1,3,1,Australia,Test
244,NM Lyon,2011-2018,76,95,29,756,40*,11.45,0,0,12,Australia,Test
245,JJ Lyons,1887-1897,14,27,0,731,134,27.07,1,3,1,Australia,Test
246,PA McAlister,1904-1909,8,16,1,252,41,16.80,0,0,0,Australia,Test
247,CG Macartney,1907-1926,35,55,4,2131,170,41.78,7,9,1,Australia,Test
248,SJ McCabe,1930-1938,39,62,5,2748,232,48.21,6,13,4,Australia,Test
249,CL McCool,1946-1950,14,17,4,459,104*,35.30,1,1,0,Australia,Test
250,EL McCormick,1935-1938,12,14,5,54,17*,6.00,0,0,3,Australia,Test
251,RB McCosker,1975-1980,25,46,5,1622,127,39.56,4,9,5,Australia,Test
252,CJ McDermott,1984-1996,71,90,13,940,42*,12.20,0,0,13,Australia,Test
253,AB McDonald,2009-2009,4,6,1,107,68,21.40,0,1,1,Australia,Test
254,CC McDonald,1952-1961,47,83,4,3107,170,39.32,5,17,2,Australia,Test
255,EA McDonald,1921-1921,11,12,5,116,36,16.57,0,0,1,Australia,Test
256,PS McDonnell,1880-1888,19,34,1,955,147,28.93,3,2,6,Australia,Test
257,BE McGain,2009-2009,1,2,0,2,2,1.00,0,0,1,Australia,Test
258,SCG MacGill,1998-2008,44,47,11,349,43,9.69,0,0,12,Australia,Test
259,GD McGrath,1993-2007,124,138,51,641,61,7.36,0,1,35,Australia,Test
260,J McIlwraith,1886-1886,1,2,0,9,7,4.50,0,0,0,Australia,Test
261,PE McIntyre,1995-1996,2,4,1,22,16,7.33,0,0,2,Australia,Test
262,CJ McKay,2009-2009,1,1,0,10,10,10.00,0,0,0,Australia,Test
263,KD Mackay,1956-1963,37,52,7,1507,89,33.48,0,13,6,Australia,Test
264,GD McKenzie,1961-1971,60,89,12,945,76,12.27,0,2,15,Australia,Test
265,TR McKibbin,1895-1898,5,8,2,88,28*,14.66,0,0,2,Australia,Test
266,JW McLaren,1912-1912,1,2,2,0,0*,0,0,0,0,Australia,Test
267,JA Maclean,1978-1979,4,8,1,79,33*,11.28,0,0,2,Australia,Test
268,CE McLeod,1894-1905,17,29,5,573,112,23.87,1,4,5,Australia,Test
269,RW McLeod,1892-1893,6,11,0,146,31,13.27,0,0,0,Australia,Test
270,PG McShane,1885-1888,3,6,1,26,12*,5.20,0,0,3,Australia,Test
271,NJ Maddinson,2016-2016,3,4,0,27,22,6.75,0,0,1,Australia,Test
272,LV Maddocks,1954-1956,7,12,2,177,69,17.70,0,1,3,Australia,Test
273,JN Maguire,1983-1984,3,5,1,28,15*,7.00,0,0,2,Australia,Test
274,AA Mailey,1920-1926,21,29,9,222,46*,11.10,0,0,3,Australia,Test
275,AA Mallett,1968-1980,38,50,13,430,43*,11.62,0,0,10,Australia,Test
276,MF Malone,1977-1977,1,1,0,46,46,46.00,0,0,0,Australia,Test
277,AL Mann,1977-1978,4,8,0,189,105,23.62,1,0,2,Australia,Test
278,GA Manou,2009-2009,1,2,1,21,13*,21.00,0,0,0,Australia,Test
279,AP Marr,1885-1885,1,2,0,5,5,2.50,0,0,1,Australia,Test
280,GR Marsh,1985-1992,50,93,7,2854,138,33.18,4,15,3,Australia,Test
281,MR Marsh,2014-2018,26,43,5,1145,181,30.13,2,3,4,Australia,Test
282,RW Marsh,1970-1984,96,150,13,3633,132,26.51,3,16,12,Australia,Test
283,SE Marsh,2011-2018,30,53,2,2019,182,39.58,6,9,8,Australia,Test
284,JW Martin,1960-1967,8,13,1,214,55,17.83,0,1,3,Australia,Test
285,DR Martyn,1992-2006,67,109,14,4406,165,46.37,13,23,7,Australia,Test
286,HH Massie,1881-1885,9,16,0,249,55,15.56,0,1,2,Australia,Test
287,RAL Massie,1972-1973,6,8,1,78,42,11.14,0,0,3,Australia,Test
288,CD Matthews,1986-1988,3,5,0,54,32,10.80,0,0,1,Australia,Test
289,GRJ Matthews,1983-1993,33,53,8,1849,130,41.08,4,12,2,Australia,Test
290,TJ Matthews,1912-1912,8,10,1,153,53,17.00,0,1,1,Australia,Test
291,GJ Maxwell,2013-2017,7,14,1,339,104,26.07,1,0,0,Australia,Test
292,TBA May,1987-1995,24,28,12,225,42*,14.06,0,0,3,Australia,Test
293,ER Mayne,1912-1921,4,4,1,64,25*,21.33,0,0,0,Australia,Test
294,LC Mayne,1965-1970,6,11,3,76,13,9.50,0,0,1,Australia,Test
295,I Meckiff,1957-1963,18,20,7,154,45*,11.84,0,0,2,Australia,Test
296,JM Mennie,2016-2016,1,2,0,10,10,5.00,0,0,1,Australia,Test
297,KD Meuleman,1946-1946,1,1,0,0,0,0.00,0,0,1,Australia,Test
298,WE Midwinter,1877-1887,8,14,1,174,37,13.38,0,0,1,Australia,Test
299,CR Miller,1998-2001,18,24,3,174,43,8.28,0,0,7,Australia,Test
300,KR Miller,1946-1956,55,87,7,2958,147,36.97,7,13,5,Australia,Test
301,RB Minnett,1911-1912,9,15,0,391,90,26.06,0,3,3,Australia,Test
302,FM Misson,1960-1961,5,5,3,38,25*,19.00,0,0,1,Australia,Test
303,TM Moody,1989-1992,8,14,0,456,106,32.57,2,3,1,Australia,Test
304,J Moroney,1949-1952,7,12,1,383,118,34.81,2,1,3,Australia,Test
305,AR Morris,1946-1955,46,79,3,3533,206,46.48,12,12,4,Australia,Test
306,S Morris,1885-1885,1,2,1,14,10*,14.00,0,0,0,Australia,Test
307,H Moses,1887-1895,6,10,0,198,33,19.80,0,0,0,Australia,Test
308,JK Moss,1979-1979,1,2,1,60,38*,60.00,0,0,0,Australia,Test
309,WH Moule,1880-1880,1,2,0,40,34,20.00,0,0,0,Australia,Test
310,SA Muller,1999-1999,2,2,2,6,6*,0,0,0,0,Australia,Test
311,WL Murdoch,1877-1890,18,33,5,896,211,32.00,2,1,3,Australia,Test
312,HA Musgrove,1885-1885,1,2,0,13,9,6.50,0,0,0,Australia,Test
313,LE Nagel,1932-1932,1,2,1,21,21*,21.00,0,0,1,Australia,Test
314,LJ Nash,1932-1937,2,2,0,30,17,15.00,0,0,0,Australia,Test
315,PM Nevill,2015-2016,17,23,2,468,66,22.28,0,3,1,Australia,Test
316,MJ Nicholson,1998-1998,1,2,0,14,9,7.00,0,0,0,Australia,Test
317,HC Nitschke,1931-1931,2,2,0,53,47,26.50,0,0,0,Australia,Test
318,MA Noble,1898-1909,42,73,7,1997,133,30.25,1,16,4,Australia,Test
319,G Noblet,1950-1953,3,4,1,22,13*,7.33,0,0,1,Australia,Test
320,MJ North,2009-2010,21,35,2,1171,128,35.48,5,4,5,Australia,Test
321,OE Nothling,1928-1928,1,2,0,52,44,26.00,0,0,0,Australia,Test
322,LPJ O'Brien,1932-1936,5,8,0,211,61,26.37,0,2,1,Australia,Test
323,JDA O'Connor,1908-1909,4,8,1,86,20,12.28,0,0,0,Australia,Test
324,SP O'Donnell,1985-1985,6,10,3,206,48,29.42,0,0,1,Australia,Test
325,AD Ogilvie,1977-1978,5,10,0,178,47,17.80,0,0,3,Australia,Test
326,SNJ O'Keefe,2014-2017,9,13,4,86,25,9.55,0,0,2,Australia,Test
327,KJ O'Keeffe,1971-1977,24,34,9,644,85,25.76,0,1,3,Australia,Test
328,WAS Oldfield,1920-1937,54,80,17,1427,65*,22.65,0,4,9,Australia,Test
